Financial Year,Gender of the Adult,Age band of the Adult,Disability Status of the Adult (dis),"Employment Status of the Adult (high level breakdowns) (emp, ftpt)",Government office region of the Household in the United Kingdom,"Adult total, net Income received from all sources, in bands, in latest prices (weekly, CPI adjusted real terms) (colpall, cpi, dividend, inc, netinc, real, sc)",Count
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,North West (E12000002),Less than £50,74896
2022-23,,,,,,£50 - £99.99,2620
2022-23,,,,,,£100 - £149.99,5416
2022-23,,,,,,£150 - £199.99,2298
2022-23,,,,,,£200 - £249.99,6706
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,2000
2022-23,,,,,,£400 - £499.99,2547
2022-23,,,,,,£500 or more,2620
2022-23,,,,,Yorkshire and The Humber (E12000003),Less than £50,52696
2022-23,,,,,,£50 - £99.99,2426
2022-23,,,,,,£100 - £149.99,12984
2022-23,,,,,,£150 - £199.99,1471
2022-23,,,,,,£200 - £249.99,1953
2022-23,,,,,,£250 - £299.99,4596
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,2862
2022-23,,,,,,£500 or more,..
2022-23,,,,,East Midlands (E12000004),Less than £50,18917
2022-23,,,,,,£50 - £99.99,2906
2022-23,,,,,,£100 - £149.99,5164
2022-23,,,,,,£150 - £199.99,2906
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,2043
2022-23,,,,,,£300 - £399.99,2820
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,West Midlands (E12000005),Less than £50,40471
2022-23,,,,,,£50 - £99.99,11495
2022-23,,,,,,£100 - £149.99,8546
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,2860
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,2607
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,East (E12000006),Less than £50,28562
2022-23,,,,,,£50 - £99.99,5654
2022-23,,,,,,£100 - £149.99,1643
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,3349
2022-23,,,,,,£250 - £299.99,2284
2022-23,,,,,,£300 - £399.99,4994
2022-23,,,,,,£400 - £499.99,901
2022-23,,,,,,£500 or more,901
2022-23,,,,,London (E12000007),Less than £50,96182
2022-23,,,,,,£50 - £99.99,17289
2022-23,,,,,,£100 - £149.99,10841
2022-23,,,,,,£150 - £199.99,10498
2022-23,,,,,,£200 - £249.99,7171
2022-23,,,,,,£250 - £299.99,8112
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,2774
2022-23,,,,,South East (E12000008),Less than £50,64337
2022-23,,,,,,£50 - £99.99,6376
2022-23,,,,,,£100 - £149.99,14831
2022-23,,,,,,£150 - £199.99,1629
2022-23,,,,,,£200 - £249.99,2845
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,4265
2022-23,,,,,South West (E12000009),Less than £50,30651
2022-23,,,,,,£50 - £99.99,5117
2022-23,,,,,,£100 - £149.99,10939
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,2901
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,2103
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Wales (W92000004),Less than £50,19911
2022-23,,,,,,£50 - £99.99,4532
2022-23,,,,,,£100 - £149.99,2275
2022-23,,,,,,£150 - £199.99,1530
2022-23,,,,,,£200 - £249.99,1849
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,4647
2022-23,,,,,,£400 - £499.99,1181
2022-23,,,,,,£500 or more,736
2022-23,,,,,Scotland (S92000003),Less than £50,26663
2022-23,,,,,,£50 - £99.99,2358
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,2811
2022-23,,,,,,£250 - £299.99,17919
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Northern Ireland (N92000002),Less than £50,12254
2022-23,,,,,,£50 - £99.99,2233
2022-23,,,,,,£100 - £149.99,1296
2022-23,,,,,,£150 - £199.99,798
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,Disabled child / adult / person,Employee,North East (E12000001),Less than £50,2615
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,2217
2022-23,,,,,,£250 - £299.99,2088
2022-23,,,,,,£300 - £399.99,4256
2022-23,,,,,,£400 - £499.99,4036
2022-23,,,,,,£500 or more,..
2022-23,,,,,North West (E12000002),Less than £50,1819
2022-23,,,,,,£50 - £99.99,1286
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,1372
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,5784
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,729
2022-23,,,,,Yorkshire and The Humber (E12000003),Less than £50,1387
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,1166
2022-23,,,,,,£300 - £399.99,3079
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,2116
2022-23,,,,,East Midlands (E12000004),Less than £50,2820
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,2285
2022-23,,,,,,£200 - £249.99,2883
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,5737
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,West Midlands (E12000005),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,2748
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,2890
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,East (E12000006),Less than £50,..
2022-23,,,,,,£50 - £99.99,1868
2022-23,,,,,,£100 - £149.99,877
2022-23,,,,,,£150 - £199.99,1070
2022-23,,,,,,£200 - £249.99,989
2022-23,,,,,,£250 - £299.99,2473
2022-23,,,,,,£300 - £399.99,5537
2022-23,,,,,,£400 - £499.99,3439
2022-23,,,,,,£500 or more,2379
2022-23,,,,,London (E12000007),Less than £50,..
2022-23,,,,,,£50 - £99.99,2893
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,2697
2022-23,,,,,,£400 - £499.99,1879
2022-23,,,,,,£500 or more,2300
2022-23,,,,,South East (E12000008),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,1491
2022-23,,,,,,£200 - £249.99,1648
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,1259
2022-23,,,,,,£400 - £499.99,7054
