,,,,,,,"Financial Year","2022-23","2022-23 - RSE","2022-23 - Annotations",
,,,,,,,"Yes",15177,0.00,,
,,,,,,,"Total",16918,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",1370,0.00,,
,,,,,,,"Total",1370,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",1370,0.00,,
,,,,,,,"Total",1370,0.00,,
,,,,,"Owned outright","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",858,0.00,,
,,,,,,,"Total",858,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",858,0.00,,
,,,,,,,"Total",858,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Total","Working-age","No or none",1741,0.00,,
,,,,,,,"Yes",16558,0.00,,
,,,,,,,"Total",18299,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",847,0.00,,
,,,,,,,"Total",847,0.00,,
,,,,,,"Total","No or none",1741,0.00,,
,,,,,,,"Yes",17405,0.00,,
,,,,,,,"Total",19146,0.00,,
,,,,"£500 or more","Social renting","Working-age","No or none",2279,0.00,,
,,,,,,,"Yes",6980,0.00,,
,,,,,,,"Total",9259,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2279,0.00,,
,,,,,,,"Yes",6980,0.00,,
,,,,,,,"Total",9259,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",3975,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3975,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3975,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3975,0.00,,
,,,,,"Owned outright","Working-age","No or none",714,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",714,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",714,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",714,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",940,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",940,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",940,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",940,0.00,,
,,,,,"Total","Working-age","No or none",7908,0.00,,
,,,,,,,"Yes",6980,0.00,,
,,,,,,,"Total",14888,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",7908,0.00,,
,,,,,,,"Yes",6980,0.00,,
,,,,,,,"Total",14888,0.00,,
,,,"Wales (W92000004)","Less than £50","Social renting","Working-age","No or none",3592,0.00,,
,,,,,,,"Yes",5130,0.00,,
,,,,,,,"Total",8722,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3592,0.00,,
,,,,,,,"Yes",5130,0.00,,
,,,,,,,"Total",8722,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",2379,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2379,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2379,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2379,0.00,,
,,,,,"Owned outright","Working-age","No or none",5126,0.00,,
,,,,,,,"Yes",1934,0.00,,
,,,,,,,"Total",7060,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5126,0.00,,
,,,,,,,"Yes",1934,0.00,,
,,,,,,,"Total",7060,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",2172,0.00,,
,,,,,,,"Yes",1585,0.00,,
,,,,,,,"Total",3757,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2172,0.00,,
,,,,,,,"Yes",1585,0.00,,
,,,,,,,"Total",3757,0.00,,
,,,,,"Total","Working-age","No or none",13269,0.00,,
,,,,,,,"Yes",8649,0.00,,
,,,,,,,"Total",21918,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",13269,0.00,,
,,,,,,,"Yes",8649,0.00,,
,,,,,,,"Total",21918,0.00,,
,,,,"£50 - £99.99","Social renting","Working-age","No or none",1757,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1757,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1757,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1757,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",1474,0.00,,
,,,,,,,"Yes",1651,0.00,,
,,,,,,,"Total",3125,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1474,0.00,,
,,,,,,,"Yes",1651,0.00,,
,,,,,,,"Total",3125,0.00,,
,,,,,"Owned outright","Working-age","No or none",3375,0.00,,
,,,,,,,"Yes",1442,0.00,,
,,,,,,,"Total",4817,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3375,0.00,,
,,,,,,,"Yes",1442,0.00,,
,,,,,,,"Total",4817,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",1258,0.00,,
,,,,,,,"Yes",916,0.00,,
,,,,,,,"Total",2174,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1258,0.00,,
,,,,,,,"Yes",916,0.00,,
,,,,,,,"Total",2174,0.00,,
,,,,,"Total","Working-age","No or none",7864,0.00,,
,,,,,,,"Yes",4009,0.00,,
,,,,,,,"Total",11873,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",7864,0.00,,
,,,,,,,"Yes",4009,0.00,,
,,,,,,,"Total",11873,0.00,,
,,,,"£100 - £149.99","Social renting","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",788,0.00,,
,,,,,,,"Total",788,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",788,0.00,,
,,,,,,,"Total",788,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",2544,0.00,,
,,,,,,,"Total",2544,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",2544,0.00,,
,,,,,,,"Total",2544,0.00,,
,,,,,"Owned outright","Working-age","No or none",3268,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3268,0.00,,
,,,,,,"Pensioner (spa)","No or none",667,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",667,0.00,,
,,,,,,"Total","No or none",3935,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3935,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",834,0.00,,
,,,,,,,"Yes",2376,0.00,,
,,,,,,,"Total",3210,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",834,0.00,,
,,,,,,,"Yes",2376,0.00,,
,,,,,,,"Total",3210,0.00,,
,,,,,"Total","Working-age","No or none",4102,0.00,,
,,,,,,,"Yes",5708,0.00,,
,,,,,,,"Total",9810,0.00,,
,,,,,,"Pensioner (spa)","No or none",667,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",667,0.00,,
,,,,,,"Total","No or none",4769,0.00,,
,,,,,,,"Yes",5708,0.00,,
,,,,,,,"Total",10477,0.00,,
,,,,"£150 - £199.99","Social renting","Working-age","No or none",1752,0.00,,
,,,,,,,"Yes",5659,0.00,,
,,,,,,,"Total",7411,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1752,0.00,,
,,,,,,,"Yes",5659,0.00,,
,,,,,,,"Total",7411,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",3463,0.00,,
,,,,,,,"Yes",3640,0.00,,
,,,,,,,"Total",7103,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3463,0.00,,
,,,,,,,"Yes",3640,0.00,,
,,,,,,,"Total",7103,0.00,,
,,,,,"Owned outright","Working-age","No or none",3474,0.00,,
,,,,,,,"Yes",2672,0.00,,
,,,,,,,"Total",6146,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3474,0.00,,
,,,,,,,"Yes",2672,0.00,,
,,,,,,,"Total",6146,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",1151,0.00,,
,,,,,,,"Yes",958,0.00,,
,,,,,,,"Total",2109,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1151,0.00,,
,,,,,,,"Yes",958,0.00,,
,,,,,,,"Total",2109,0.00,,
,,,,,"Total","Working-age","No or none",9840,0.00,,
,,,,,,,"Yes",12929,0.00,,
,,,,,,,"Total",22769,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",9840,0.00,,
,,,,,,,"Yes",12929,0.00,,
,,,,,,,"Total",22769,0.00,,
,,,,"£200 - £249.99","Social renting","Working-age","No or none",622,0.00,,
,,,,,,,"Yes",7586,0.00,,
,,,,,,,"Total",8208,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",622,0.00,,
,,,,,,,"Yes",7586,0.00,,
,,,,,,,"Total",8208,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",2099,0.00,,
,,,,,,,"Total",2099,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",2099,0.00,,
,,,,,,,"Total",2099,0.00,,
,,,,,"Owned outright","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",1987,0.00,,
,,,,,,,"Total",1987,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",1987,0.00,,
,,,,,,,"Total",1987,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",1148,0.00,,
,,,,,,,"Total",1148,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",1148,0.00,,
,,,,,,,"Total",1148,0.00,,
,,,,,"Total","Working-age","No or none",622,0.00,,
,,,,,,,"Yes",12820,0.00,,
,,,,,,,"Total",13442,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",622,0.00,,
,,,,,,,"Yes",12820,0.00,,
,,,,,,,"Total",13442,0.00,,
,,,,"£250 - £299.99","Social renting","Working-age","No or none",2451,0.00,,
,,,,,,,"Yes",2279,0.00,,
,,,,,,,"Total",4730,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2451,0.00,,
,,,,,,,"Yes",2279,0.00,,
,,,,,,,"Total",4730,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",1041,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1041,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1041,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1041,0.00,,
,,,,,"Owned outright","Working-age","No or none",916,0.00,,
,,,,,,,"Yes",2006,0.00,,
,,,,,,,"Total",2922,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",631,0.00,,
,,,,,,,"Total",631,0.00,,
,,,,,,"Total","No or none",916,0.00,,
,,,,,,,"Yes",2637,0.00,,
,,,,,,,"Total",3553,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",661,0.00,,
,,,,,,,"Total",661,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",661,0.00,,
,,,,,,,"Total",661,0.00,,
,,,,,"Total","Working-age","No or none",4408,0.00,,
,,,,,,,"Yes",4946,0.00,,
,,,,,,,"Total",9354,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",631,0.00,,
,,,,,,,"Total",631,0.00,,
,,,,,,"Total","No or none",4408,0.00,,
,,,,,,,"Yes",5577,0.00,,
,,,,,,,"Total",9985,0.00,,
,,,,"£300 - £399.99","Social renting","Working-age","No or none",3019,0.00,,
,,,,,,,"Yes",8256,0.00,,
,,,,,,,"Total",11275,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",688,0.00,,
,,,,,,,"Total",688,0.00,,
,,,,,,"Total","No or none",3019,0.00,,
,,,,,,,"Yes",8944,0.00,,
,,,,,,,"Total",11963,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",2650,0.00,,
,,,,,,,"Yes",1423,0.00,,
,,,,,,,"Total",4073,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2650,0.00,,
,,,,,,,"Yes",1423,0.00,,
,,,,,,,"Total",4073,0.00,,
,,,,,"Owned outright","Working-age","No or none",631,0.00,,
,,,,,,,"Yes",3696,0.00,,
,,,,,,,"Total",4327,0.00,,
,,,,,,"Pensioner (spa)","No or none",628,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",628,0.00,,
,,,,,,"Total","No or none",1259,0.00,,
,,,,,,,"Yes",3696,0.00,,
,,,,,,,"Total",4955,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Total","Working-age","No or none",6300,0.00,,
,,,,,,,"Yes",13375,0.00,,
,,,,,,,"Total",19675,0.00,,
,,,,,,"Pensioner (spa)","No or none",628,0.00,,
,,,,,,,"Yes",688,0.00,,
,,,,,,,"Total",1316,0.00,,
,,,,,,"Total","No or none",6928,0.00,,
,,,,,,,"Yes",14063,0.00,,
,,,,,,,"Total",20991,0.00,,
,,,,"£400 - £499.99","Social renting","Working-age","No or none",2819,0.00,,
,,,,,,,"Yes",8472,0.00,,
,,,,,,,"Total",11291,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",17893,0.00,,
,,,,,,,"Total",17893,0.00,,
,,,,,,"Total","No or none",2819,0.00,,
,,,,,,,"Yes",26365,0.00,,
,,,,,,,"Total",29184,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",1734,0.00,,
,,,,,,,"Yes",2502,0.00,,
,,,,,,,"Total",4236,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1734,0.00,,
,,,,,,,"Yes",2502,0.00,,
,,,,,,,"Total",4236,0.00,,
,,,,,"Owned outright","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",1918,0.00,,
,,,,,,,"Total",1918,0.00,,
,,,,,,"Pensioner (spa)","No or none",667,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",667,0.00,,
,,,,,,"Total","No or none",667,0.00,,
,,,,,,,"Yes",1918,0.00,,
,,,,,,,"Total",2585,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Total","Working-age","No or none",4553,0.00,,
,,,,,,,"Yes",12892,0.00,,
,,,,,,,"Total",17445,0.00,,
,,,,,,"Pensioner (spa)","No or none",667,0.00,,
,,,,,,,"Yes",17893,0.00,,
,,,,,,,"Total",18560,0.00,,
,,,,,,"Total","No or none",5220,0.00,,
,,,,,,,"Yes",30785,0.00,,
,,,,,,,"Total",36005,0.00,,
,,,,"£500 or more","Social renting","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",7136,0.00,,
,,,,,,,"Total",7136,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",7136,0.00,,
,,,,,,,"Total",7136,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",624,0.00,,
,,,,,,,"Yes",3038,0.00,,
,,,,,,,"Total",3662,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",624,0.00,,
,,,,,,,"Yes",3038,0.00,,
,,,,,,,"Total",3662,0.00,,
,,,,,"Owned outright","Working-age","No or none",727,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",727,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",727,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",727,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Total","Working-age","No or none",1351,0.00,,
,,,,,,,"Yes",10174,0.00,,
,,,,,,,"Total",11525,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1351,0.00,,
,,,,,,,"Yes",10174,0.00,,
,,,,,,,"Total",11525,0.00,,
,,,"Scotland (S92000003)","Less than £50","Social renting","Working-age","No or none",2949,0.00,,
,,,,,,,"Yes",13563,0.00,,
,,,,,,,"Total",16512,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2949,0.00,,
,,,,,,,"Yes",13563,0.00,,
,,,,,,,"Total",16512,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",3289,0.00,,
,,,,,,,"Yes",2982,0.00,,
,,,,,,,"Total",6271,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3289,0.00,,
,,,,,,,"Yes",2982,0.00,,
,,,,,,,"Total",6271,0.00,,
,,,,,"Owned outright","Working-age","No or none",3156,0.00,,
,,,,,,,"Yes",2998,0.00,,
,,,,,,,"Total",6154,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3156,0.00,,
,,,,,,,"Yes",2998,0.00,,
,,,,,,,"Total",6154,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",3117,0.00,,
,,,,,,,"Total",3117,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",3117,0.00,,
,,,,,,,"Total",3117,0.00,,
,,,,,"Total","Working-age","No or none",9394,0.00,,
,,,,,,,"Yes",22660,0.00,,
,,,,,,,"Total",32054,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",9394,0.00,,
,,,,,,,"Yes",22660,0.00,,
,,,,,,,"Total",32054,0.00,,
,,,,"£50 - £99.99","Social renting","Working-age","No or none",3927,0.00,,
,,,,,,,"Yes",7244,0.00,,
,,,,,,,"Total",11171,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3927,0.00,,
,,,,,,,"Yes",7244,0.00,,
,,,,,,,"Total",11171,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",2419,0.00,,
,,,,,,,"Total",2419,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",2419,0.00,,
,,,,,,,"Total",2419,0.00,,
,,,,,"Owned outright","Working-age","No or none",1589,0.00,,
,,,,,,,"Yes",4245,0.00,,
,,,,,,,"Total",5834,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1589,0.00,,
,,,,,,,"Yes",4245,0.00,,
,,,,,,,"Total",5834,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",1344,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1344,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1344,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1344,0.00,,
,,,,,"Total","Working-age","No or none",6860,0.00,,
,,,,,,,"Yes",13908,0.00,,
,,,,,,,"Total",20768,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",6860,0.00,,
,,,,,,,"Yes",13908,0.00,,
,,,,,,,"Total",20768,0.00,,
,,,,"£100 - £149.99","Social renting","Working-age","No or none",6897,0.00,,
,,,,,,,"Yes",3208,0.00,,
,,,,,,,"Total",10105,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",6897,0.00,,
,,,,,,,"Yes",3208,0.00,,
,,,,,,,"Total",10105,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",2386,0.00,,
,,,,,,,"Total",2386,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",2386,0.00,,
,,,,,,,"Total",2386,0.00,,
,,,,,"Owned outright","Working-age","No or none",704,0.00,,
,,,,,,,"Yes",936,0.00,,
,,,,,,,"Total",1640,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",704,0.00,,
,,,,,,,"Yes",936,0.00,,
,,,,,,,"Total",1640,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",990,0.00,,
,,,,,,,"Total",990,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",990,0.00,,
,,,,,,,"Total",990,0.00,,
,,,,,"Total","Working-age","No or none",7601,0.00,,
,,,,,,,"Yes",7520,0.00,,
,,,,,,,"Total",15121,0.00,,
